nl,paraphrases,sql,tables,columns,business_intent,complexity,alternatives,label
What is the total amount of catalog returns in 2002 by month?,"# Paraphrases of ""What is the total amount of catalog returns in 2002 by month?""

1. Could you provide a monthly breakdown of the total catalog returns for the year 2002?

2. How much money was returned through catalogs each month during 2002?

3. I need the month-by-month figures for all catalog returns throughout 2002 - what were they?","SELECT d.d_month, SUM(cr.cr_return_amount) as total_returns
FROM catalog_returns cr
JOIN date_dim d ON cr.cr_returned_date_sk = d.d_date_sk
WHERE d.d_year = 2002
GROUP BY d.d_month
ORDER BY d.d_month",catalog_returns;date_dim,,"To analyze the monthly pattern of catalog returns throughout 2002, which helps identify seasonal trends in product returns and understand financial impacts across different months of the year.",medium,"We could also use d_month_seq instead of d_month for sorting chronologically, or include additional aggregations like average return amount or count of returns to provide more context.",1
What is the total amount of catalog returns in 2002 by month?,,"SELECT dummy_col, d.d_month, SUM(cr.cr_return_amount) as total_returns
FROM catalog_returns cr
JOIN date_dim d ON cr.cr_returned_date_sk = d.d_date_sk
WHERE d.d_year = 2002
GROUP BY d.d_month
ORDER BY d.d_month",catalog_returns;date_dim,,,hard,,0
What are the different types of shipping modes available in our business?,"# Paraphrases of ""What are the different types of shipping modes available in our business?""

1. Which shipping methods can customers use when ordering from our company?

2. Could you list all the transportation options we offer for delivering products to our clients?

3. What variety of delivery modes does our business currently provide to ship merchandise?",SELECT DISTINCT sm_type FROM ship_mode ORDER BY sm_type;,ship_mode,ship_mode.sm_type,"To understand the variety of shipping method types available in the business, which helps in analyzing shipping options, planning logistics, and potentially identifying gaps in the current shipping portfolio.",easy,"SELECT sm_type FROM ship_mode GROUP BY sm_type ORDER BY sm_type;;SELECT sm_type, COUNT(*) as count FROM ship_mode GROUP BY sm_type ORDER BY sm_type;",1
What are the different types of shipping modes available in our business?,,"SELECT d.d_month, SUM(cr.cr_return_amount) as total_returns
FROM catalog_returns cr
JOIN date_dim d ON cr.cr_returned_date_sk = d.d_date_sk
WHERE d.d_year = 2002
GROUP BY d.d_month
ORDER BY d.d_month",catalog_returns;date_dim,,,hard,,0
What are the different types of shipping modes available in our business?,,"SELECT DISTINCT dummy_col, sm_type FROM ship_mode ORDER BY sm_type;",ship_mode,ship_mode.sm_type,,easy,,0
What are the names and descriptions of items that have been promoted with both direct mail and email campaigns?,"Here are 3 paraphrased versions of the original question:

1. Which products or items have been marketed through both direct mail promotions and email campaigns, and what are their descriptions?

2. Can you provide the names and descriptions of merchandise that has been advertised using both email marketing and direct mail strategies?

3. List the items that have received promotional support through both direct postal mail and electronic mail campaigns, along with their detailed descriptions.","SELECT DISTINCT i.i_item_id, i.i_product_name, i.i_item_desc FROM item i JOIN promotion p ON i.i_item_sk = p.p_item_sk WHERE p.p_channel_email = 1 AND p.p_channel_dmail = 1",promotion;item,,"To identify products that have been targeted with multiple marketing channels, specifically both email and direct mail campaigns. This information can help marketing teams understand cross-channel promotion strategies and potentially analyze which products are receiving the most diverse marketing attention.",medium,"We could extend this analysis by including promotion details like promotion name or dates to see when these multi-channel promotions occurred;Another approach would be to count how many different channels were used for each product and filter for those with multiple channels, rather than specifically direct mail and email",1
What are the names and descriptions of items that have been promoted with both direct mail and email campaigns?,,"SELECT d.d_month, SUM(cr.cr_return_amount) as total_returns
FROM catalog_returns cr
JOIN date_dim d ON cr.cr_returned_date_sk = d.d_date_sk
WHERE d.d_year = 2002
GROUP BY d.d_month
ORDER BY d.d_month",catalog_returns;date_dim,,,hard,,0
What are the names and descriptions of items that have been promoted with both direct mail and email campaigns?,,"SELECT DISTINCT dummy_col, i.i_item_id, i.i_product_name, i.i_item_desc FROM item i JOIN promotion p ON i.i_item_sk = p.p_item_sk WHERE p.p_channel_email = 1 AND p.p_channel_dmail = 1",promotion;item,,,hard,,0
What is the total amount of web sales and web returns for each month in the year?,"# Paraphrases of the Question

1. For each month throughout the year, what are the combined figures for web-based sales and returns?

2. Could you provide a monthly breakdown of the aggregate web sales and web returns values for the entire year?

3. How much do web sales and web returns total when analyzed on a month-by-month basis across the year?","SELECT d1.d_year, d1.d_month, 
       SUM(ws_net_paid) AS total_web_sales, 
       SUM(wr_net_loss) AS total_web_returns
FROM web_sales 
JOIN date_dim d1 ON ws_sold_date_sk = d1.d_date_sk
LEFT JOIN web_returns ON ws_order_number = wr_order_number AND ws_item_sk = wr_item_sk
JOIN date_dim d2 ON wr_returned_date_sk = d2.d_date_sk
GROUP BY d1.d_year, d1.d_month
ORDER BY d1.d_year, d1.d_month;",web_sales;web_returns;date_dim,,"To understand the monthly pattern of web sales income versus returns losses, which helps in identifying seasonal trends, assessing the financial impact of returns, and planning inventory and sales strategies accordingly.",medium,"We could alternatively calculate the return rate by dividing returns by sales for each month, or focus on specific product categories by joining with the item table.",1
What is the total amount of web sales and web returns for each month in the year?,,"SELECT DISTINCT dummy_col, i.i_item_id, i.i_product_name, i.i_item_desc FROM item i JOIN promotion p ON i.i_item_sk = p.p_item_sk WHERE p.p_channel_email = 1 AND p.p_channel_dmail = 1",promotion;item,,,hard,,0
What is the total amount of web sales and web returns for each month in the year?,,"SELECT dummy_col, d1.d_year, d1.d_month, 
       SUM(ws_net_paid) AS total_web_sales, 
       SUM(wr_net_loss) AS total_web_returns
FROM web_sales 
JOIN date_dim d1 ON ws_sold_date_sk = d1.d_date_sk
LEFT JOIN web_returns ON ws_order_number = wr_order_number AND ws_item_sk = wr_item_sk
JOIN date_dim d2 ON wr_returned_date_sk = d2.d_date_sk
GROUP BY d1.d_year, d1.d_month
ORDER BY d1.d_year, d1.d_month;",web_sales;web_returns;date_dim,,,hard,,0
How many customer addresses are there in each state?,"# Paraphrases of ""How many customer addresses are there in each state?""

1. What is the count of customer addresses distributed across different states?

2. For each state, what is the total number of customer addresses recorded?

3. Could you provide a breakdown of customer address quantities by state?","SELECT ca_state, COUNT(*) as address_count FROM customer_address GROUP BY ca_state ORDER BY address_count DESC",customer_address,customer_address.ca_state,"To understand the geographic distribution of customers across different states, which can inform regional marketing strategies, logistics planning, and market penetration analysis.",easy,"The query could also filter for non-null states using 'WHERE ca_state IS NOT NULL' if there's a possibility of missing state data.;For more detailed geographic analysis, the query could be extended to include grouping by city or county within each state.",1
How many customer addresses are there in each state?,,"SELECT dummy_col, d1.d_year, d1.d_month, 
       SUM(ws_net_paid) AS total_web_sales, 
       SUM(wr_net_loss) AS total_web_returns
FROM web_sales 
JOIN date_dim d1 ON ws_sold_date_sk = d1.d_date_sk
LEFT JOIN web_returns ON ws_order_number = wr_order_number AND ws_item_sk = wr_item_sk
JOIN date_dim d2 ON wr_returned_date_sk = d2.d_date_sk
GROUP BY d1.d_year, d1.d_month
ORDER BY d1.d_year, d1.d_month;",web_sales;web_returns;date_dim,,,hard,,0
How many customer addresses are there in each state?,,"SELECT dummy_col, ca_state, COUNT(*) as address_count FROM customer_address GROUP BY ca_state ORDER BY address_count DESC",customer_address,customer_address.ca_state,,medium,,0
"What web pages were created after January 1, 2022?","# Paraphrases of ""What web pages were created after January 1, 2022?""

1. Which websites have been established since the beginning of 2022?

2. Can you identify any web pages that came into existence following January 1, 2022?

3. What internet sites were launched or developed after the first day of 2022?","SELECT wp.wp_web_page_id, wp.wp_creation_date_sk, d.d_date
FROM web_page wp
JOIN date_dim d ON wp.wp_creation_date_sk = d.d_date_sk
WHERE d.d_date > '2022-01-01'
ORDER BY d.d_date;",web_page;date_dim,,"To identify web pages created after a specific date, which helps track new content creation, analyze growth patterns, and understand recent web development activities. This information could be used by content managers, web administrators, or business analysts monitoring digital asset expansion.",medium,"Instead of joining with date_dim, we could filter directly on wp_creation_date_sk if we knew the corresponding surrogate key value for January 1, 2022. Alternatively, we could use wp_rec_start_date for filtering if that represents when the page record became valid.",1
"What web pages were created after January 1, 2022?",,"SELECT dummy_col, ca_state, COUNT(*) as address_count FROM customer_address GROUP BY ca_state ORDER BY address_count DESC",customer_address,customer_address.ca_state,,medium,,0
"What web pages were created after January 1, 2022?",,"SELECT dummy_col, wp.wp_web_page_id, wp.wp_creation_date_sk, d.d_date
FROM web_page wp
JOIN date_dim d ON wp.wp_creation_date_sk = d.d_date_sk
WHERE d.d_date > '2022-01-01'
ORDER BY d.d_date;",web_page;date_dim,,,hard,,0
How many customers have birthdays in each month?,"# Paraphrases of ""How many customers have birthdays in each month?""

1. What is the monthly distribution of customer birthdays?

2. Could you provide a breakdown of the number of customers whose birthdays fall in each month?

3. For every month of the year, how many of our customers were born during that time?","SELECT c_birth_month, COUNT(*) as customer_count FROM customer GROUP BY c_birth_month ORDER BY c_birth_month",customer,customer.c_birth_month,"To analyze the distribution of customer birthdays across different months, which could be useful for planning birthday promotions, seasonal marketing campaigns, or understanding demographic patterns in the customer base.",easy,"SELECT EXTRACT(MONTH FROM TO_DATE(c_birth_month::text, 'MM')) as month_name, COUNT(*) as customer_count FROM customer GROUP BY c_birth_month ORDER BY c_birth_month;SELECT c_birth_month, COUNT(*) as customer_count, ROUND(COUNT(*) * 100.0 / SUM(COUNT(*)) OVER(), 2) as percentage FROM customer GROUP BY c_birth_month ORDER BY c_birth_month",1
How many customers have birthdays in each month?,,"SELECT dummy_col, d.d_month, SUM(cr.cr_return_amount) as total_returns
FROM catalog_returns cr
JOIN date_dim d ON cr.cr_returned_date_sk = d.d_date_sk
WHERE d.d_year = 2002
GROUP BY d.d_month
ORDER BY d.d_month",catalog_returns;date_dim,,,hard,,0
How many customers have birthdays in each month?,,"SELECT dummy_col, c_birth_month, COUNT(*) as customer_count FROM customer GROUP BY c_birth_month ORDER BY c_birth_month",customer,customer.c_birth_month,,medium,,0
"Which call centers have been closed, and what were their names?","# Paraphrases of the Original Question

1. What were the names of the call centers that have been shut down?

2. Can you identify which customer service facilities were closed and provide their specific names?

3. Which telephone support centers are no longer operational, and what were they called?","SELECT cc_name, cc_closed_date_sk FROM call_center WHERE cc_closed_date_sk IS NOT NULL",call_center,call_center.cc_closed_date_sk;call_center.cc_name,"To identify call centers that have been closed, which helps in analyzing facility consolidation, operational changes, or business restructuring. This information can be valuable for historical analysis, resource allocation planning, and understanding organizational changes over time.",easy,"Another approach could be to check records where cc_rec_end_date is not null, as this might also indicate closed facilities: SELECT cc_name, cc_rec_end_date FROM call_center WHERE cc_rec_end_date IS NOT NULL",1
"Which call centers have been closed, and what were their names?",,"SELECT d1.d_year, d1.d_month, 
       SUM(ws_net_paid) AS total_web_sales, 
       SUM(wr_net_loss) AS total_web_returns
FROM web_sales 
JOIN date_dim d1 ON ws_sold_date_sk = d1.d_date_sk
LEFT JOIN web_returns ON ws_order_number = wr_order_number AND ws_item_sk = wr_item_sk
JOIN date_dim d2 ON wr_returned_date_sk = d2.d_date_sk
GROUP BY d1.d_year, d1.d_month
ORDER BY d1.d_year, d1.d_month;",web_sales;web_returns;date_dim,,,hard,,0
"Which call centers have been closed, and what were their names?",,"SELECT dummy_col, cc_name, cc_closed_date_sk FROM call_center WHERE cc_closed_date_sk IS NOT NULL",call_center,call_center.cc_closed_date_sk;call_center.cc_name,,easy,,0
What is the total square footage of all warehouses?,"# Paraphrases of ""What is the total square footage of all warehouses?""

1. What is the combined square footage across all warehouse facilities?

2. How many square feet do all warehouses occupy in total?

3. What's the aggregate area, measured in square feet, of the entire warehouse inventory?",SELECT SUM(w_warehouse_sq_ft) FROM warehouse,warehouse,warehouse.w_warehouse_sq_ft,"To understand the total physical capacity of all warehouse facilities in the company, which helps with capacity planning, asset management, and resource allocation.",easy,"SELECT SUM(w_warehouse_sq_ft) AS total_square_footage FROM warehouse;SELECT COUNT(*) AS warehouse_count, SUM(w_warehouse_sq_ft) AS total_square_footage FROM warehouse",1
What is the total square footage of all warehouses?,,"SELECT d.d_month, SUM(cr.cr_return_amount) as total_returns
FROM catalog_returns cr
JOIN date_dim d ON cr.cr_returned_date_sk = d.d_date_sk
WHERE d.d_year = 2002
GROUP BY d.d_month
ORDER BY d.d_month",catalog_returns;date_dim,,,hard,,0
What is the total square footage of all warehouses?,,"SELECT dummy_col, SUM(w_warehouse_sq_ft) FROM warehouse",warehouse,warehouse.w_warehouse_sq_ft,,easy,,0
What is the total revenue from catalog sales per state?,"# Paraphrases of ""What is the total revenue from catalog sales per state?""

1. How much revenue did each state generate from catalog sales in total?

2. Can you break down the aggregate catalog sales revenue by state?

3. What are the state-by-state totals for revenue derived from catalog purchases?","SELECT s_state, SUM(cs_net_paid) as total_revenue FROM catalog_sales JOIN store ON cs_bill_customer_sk = s_store_sk GROUP BY s_state ORDER BY total_revenue DESC",catalog_sales;store,,"To analyze the geographic distribution of catalog sales revenue across different states, helping to identify high-performing and underperforming regions for strategic planning and resource allocation.",medium,Could calculate the revenue using different metrics like cs_net_paid_inc_tax or cs_net_profit instead of cs_net_paid to get different perspectives on revenue performance.,1
What is the total revenue from catalog sales per state?,,"SELECT cc_name, cc_closed_date_sk FROM call_center WHERE cc_closed_date_sk IS NOT NULL",call_center,call_center.cc_closed_date_sk;call_center.cc_name,,easy,,0
What is the total revenue from catalog sales per state?,,"SELECT dummy_col, s_state, SUM(cs_net_paid) as total_revenue FROM catalog_sales JOIN store ON cs_bill_customer_sk = s_store_sk GROUP BY s_state ORDER BY total_revenue DESC",catalog_sales;store,,,hard,,0
What is the average sales amount for items sold between 2 PM and 4 PM?,"# Paraphrases of the Original Question

1. What is the mean transaction value for products purchased during the hours of 2 PM and 4 PM?

2. Between 2 PM and 4 PM, what was the typical sales figure per item sold?

3. For merchandise sold in the 2 PM to 4 PM timeframe, what is the average monetary value?",SELECT AVG(ss_sales_price) as avg_sales_amount FROM store_sales JOIN time_dim ON ss_sold_time_sk = t_time_sk WHERE t_hour >= 14 AND t_hour < 16,time_dim;store_sales,,"To analyze purchasing patterns and average transaction values during specific afternoon hours, which can help optimize pricing strategies, staffing, or promotional activities during this time period.",medium,The analysis could be extended by grouping by specific hours or adding filters for specific days of the week to identify more granular time-based sales patterns.,1
What is the average sales amount for items sold between 2 PM and 4 PM?,,"SELECT dummy_col, d1.d_year, d1.d_month, 
       SUM(ws_net_paid) AS total_web_sales, 
       SUM(wr_net_loss) AS total_web_returns
FROM web_sales 
JOIN date_dim d1 ON ws_sold_date_sk = d1.d_date_sk
LEFT JOIN web_returns ON ws_order_number = wr_order_number AND ws_item_sk = wr_item_sk
JOIN date_dim d2 ON wr_returned_date_sk = d2.d_date_sk
GROUP BY d1.d_year, d1.d_month
ORDER BY d1.d_year, d1.d_month;",web_sales;web_returns;date_dim,,,hard,,0
What is the average sales amount for items sold between 2 PM and 4 PM?,,"SELECT dummy_col, AVG(ss_sales_price) as avg_sales_amount FROM store_sales JOIN time_dim ON ss_sold_time_sk = t_time_sk WHERE t_hour >= 14 AND t_hour < 16",time_dim;store_sales,,,hard,,0
Which departments have the most catalog pages?,"Paraphrases of ""Which departments have the most catalog pages?"":

1. What sections of the catalog contain the highest number of pages?

2. In terms of page count, which departments are the largest in the catalog?

3. Which areas or categories in the catalog occupy the greatest number of pages?","SELECT cp_department, COUNT(*) AS page_count FROM catalog_page GROUP BY cp_department ORDER BY page_count DESC",catalog_page,catalog_page.cp_department,"To identify which departments produce the most catalog content, which helps understand resource allocation, marketing focus, and department activity in catalog production. This information can guide decisions about catalog distribution strategy and content planning.",easy,"SELECT cp_department, COUNT(cp_catalog_page_sk) AS page_count FROM catalog_page GROUP BY cp_department ORDER BY page_count DESC;SELECT cp_department, COUNT(DISTINCT cp_catalog_page_id) AS unique_page_count FROM catalog_page GROUP BY cp_department ORDER BY unique_page_count DESC",1
Which departments have the most catalog pages?,,"SELECT ca_state, COUNT(*) as address_count FROM customer_address GROUP BY ca_state ORDER BY address_count DESC",customer_address,customer_address.ca_state,,medium,,0
Which departments have the most catalog pages?,,"SELECT dummy_col, cp_department, COUNT(*) AS page_count FROM catalog_page GROUP BY cp_department ORDER BY page_count DESC",catalog_page,catalog_page.cp_department,,medium,,0
What is the distribution of returned items across different income bands?,"# Paraphrases of ""What is the distribution of returned items across different income bands?""

1. How are product returns distributed among various income categories?

2. Across the spectrum of income levels, what pattern can we observe in item returns?

3. In what way do returned merchandise statistics vary between different customer income brackets?","SELECT ib.ib_lower_bound, ib.ib_upper_bound, COUNT(sr.sr_item_sk) as return_count FROM store_returns sr JOIN customer c ON sr.sr_customer_sk = c.c_customer_sk JOIN customer_demographics cd ON c.c_current_cdemo_sk = cd.cd_demo_sk JOIN income_band ib ON cd.cd_income_band_sk = ib.ib_income_band_sk GROUP BY ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound ORDER BY ib.ib_lower_bound",store_returns;income_band;customer;customer_demographics,,"To analyze the relationship between customer income levels and return behaviors. This analysis helps identify if certain income segments have higher return rates, which could inform targeted retention strategies or product quality improvements for specific customer segments.",medium,"We could also analyze the total dollar amount of returns by income band instead of just count, or examine specific product categories and their return rates across income bands.",1
What is the distribution of returned items across different income bands?,,"SELECT DISTINCT dummy_col, i.i_item_id, i.i_product_name, i.i_item_desc FROM item i JOIN promotion p ON i.i_item_sk = p.p_item_sk WHERE p.p_channel_email = 1 AND p.p_channel_dmail = 1",promotion;item,,,hard,,0
What is the distribution of returned items across different income bands?,,"SELECT dummy_col, ib.ib_lower_bound, ib.ib_upper_bound, COUNT(sr.sr_item_sk) as return_count FROM store_returns sr JOIN customer c ON sr.sr_customer_sk = c.c_customer_sk JOIN customer_demographics cd ON c.c_current_cdemo_sk = cd.cd_demo_sk JOIN income_band ib ON cd.cd_income_band_sk = ib.ib_income_band_sk GROUP BY ib.ib_income_band_sk, ib.ib_lower_bound, ib.ib_upper_bound ORDER BY ib.ib_lower_bound",store_returns;income_band;customer;customer_demographics,,,hard,,0
What is the distribution of household vehicle counts by buying potential classification?,"# Paraphrased Versions

1. How are households with varying purchasing power distributed according to the number of vehicles they own?

2. Based on consumer buying capacity categories, what is the breakdown of how many vehicles households possess?

3. What patterns emerge when examining the number of cars per household across different economic purchasing potential segments?","SELECT hd_buy_potential, hd_vehicle_count, COUNT(*) as household_count FROM household_demographics GROUP BY hd_buy_potential, hd_vehicle_count ORDER BY hd_buy_potential, hd_vehicle_count",household_demographics,household_demographics.hd_buy_potential;household_demographics.hd_vehicle_count,"This query helps analyze consumer behavior patterns by examining how vehicle ownership relates to purchasing potential. Marketing teams can use this information to target households based on their buying capacity and transportation assets, enabling more refined market segmentation and campaign planning.",medium,An alternative approach could be to first classify vehicle counts into ranges and then analyze the distribution across buying potential categories using CASE statements to create meaningful groupings of the data.,1
What is the distribution of household vehicle counts by buying potential classification?,,"SELECT d.d_month, SUM(cr.cr_return_amount) as total_returns
FROM catalog_returns cr
JOIN date_dim d ON cr.cr_returned_date_sk = d.d_date_sk
WHERE d.d_year = 2002
GROUP BY d.d_month
ORDER BY d.d_month",catalog_returns;date_dim,,,hard,,0
What is the distribution of household vehicle counts by buying potential classification?,,"SELECT dummy_col, hd_buy_potential, hd_vehicle_count, COUNT(*) as household_count FROM household_demographics GROUP BY hd_buy_potential, hd_vehicle_count ORDER BY hd_buy_potential, hd_vehicle_count",household_demographics,household_demographics.hd_buy_potential;household_demographics.hd_vehicle_count,,medium,,0
What are the total inventory quantities by warehouse for items that have more than 500 units on hand?,"# Paraphrases of the Original Question

1. For inventory items exceeding 500 units in stock, how are the total quantities distributed across each warehouse?

2. Can you provide a breakdown of warehouse inventory totals, specifically for products with on-hand quantities greater than 500 units?

3. Which warehouses contain what quantities of items that maintain stock levels above 500 units, and what are their total inventory counts?","SELECT inv_warehouse_sk, SUM(inv_quantity_on_hand) as total_quantity FROM inventory WHERE inv_quantity_on_hand > 500 GROUP BY inv_warehouse_sk ORDER BY total_quantity DESC;",inventory,inventory.inv_quantity_on_hand;inventory.inv_warehouse_sk,"To identify warehouses with substantial inventory levels, which helps in resource allocation, inventory management decisions, and identifying potential overstocking situations. This analysis can inform logistics planning and warehouse capacity utilization strategies.",medium,"Another approach could be to first find the average quantity per warehouse and then filter for those above a threshold, such as: SELECT inv_warehouse_sk, AVG(inv_quantity_on_hand) as avg_quantity FROM inventory GROUP BY inv_warehouse_sk HAVING AVG(inv_quantity_on_hand) > 500;",1
What are the total inventory quantities by warehouse for items that have more than 500 units on hand?,,"SELECT d.d_month, SUM(cr.cr_return_amount) as total_returns
FROM catalog_returns cr
JOIN date_dim d ON cr.cr_returned_date_sk = d.d_date_sk
WHERE d.d_year = 2002
GROUP BY d.d_month
ORDER BY d.d_month",catalog_returns;date_dim,,,hard,,0
What are the total inventory quantities by warehouse for items that have more than 500 units on hand?,,"SELECT dummy_col, inv_warehouse_sk, SUM(inv_quantity_on_hand) as total_quantity FROM inventory WHERE inv_quantity_on_hand > 500 GROUP BY inv_warehouse_sk ORDER BY total_quantity DESC;",inventory,inventory.inv_quantity_on_hand;inventory.inv_warehouse_sk,,medium,,0
List all the reasons stored in the reason table.,"# Paraphrases of ""List all the reasons stored in the reason table.""

1. Display all entries contained in the reason table.

2. Show the complete set of reasons that are maintained in the reason table.

3. Retrieve and present all records from the table designated for storing reasons.","SELECT r_reason_sk, r_reason_id, r_reason_desc FROM reason;",reason,reason.r_reason_sk;reason.r_reason_id;reason.r_reason_desc,To obtain a complete list of all reason codes and their descriptions from the reference dimension table. This information helps understand the various reason categories used throughout the data warehouse for analytical purposes.,easy,"SELECT * FROM reason ORDER BY r_reason_sk;;SELECT r_reason_id, r_reason_desc FROM reason;",1
List all the reasons stored in the reason table.,,"SELECT hd_buy_potential, hd_vehicle_count, COUNT(*) as household_count FROM household_demographics GROUP BY hd_buy_potential, hd_vehicle_count ORDER BY hd_buy_potential, hd_vehicle_count",household_demographics,household_demographics.hd_buy_potential;household_demographics.hd_vehicle_count,,medium,,0
List all the reasons stored in the reason table.,,"SELECT dummy_col, r_reason_sk, r_reason_id, r_reason_desc FROM reason;",reason,reason.r_reason_sk;reason.r_reason_id;reason.r_reason_desc,,easy,,0
What are the names of all websites in the database?,"# Paraphrases of ""What are the names of all websites in the database?""

1. Could you provide a complete list of website names stored in the database?

2. I need to see all website titles that exist within the database. What are they?

3. Please display the full inventory of website names contained in your database system.",SELECT web_name FROM web_site;,web_site,web_site.web_name,"To obtain a comprehensive list of all website names for inventory purposes, reporting, or to understand the complete collection of web properties the company manages.",easy,"SELECT web_site_id, web_name FROM web_site;;SELECT web_name FROM web_site ORDER BY web_name;",1
What are the names of all websites in the database?,,"SELECT d1.d_year, d1.d_month, 
       SUM(ws_net_paid) AS total_web_sales, 
       SUM(wr_net_loss) AS total_web_returns
FROM web_sales 
JOIN date_dim d1 ON ws_sold_date_sk = d1.d_date_sk
LEFT JOIN web_returns ON ws_order_number = wr_order_number AND ws_item_sk = wr_item_sk
JOIN date_dim d2 ON wr_returned_date_sk = d2.d_date_sk
GROUP BY d1.d_year, d1.d_month
ORDER BY d1.d_year, d1.d_month;",web_sales;web_returns;date_dim,,,hard,,0
What are the names of all websites in the database?,,"SELECT dummy_col, web_name FROM web_site;",web_site,web_site.web_name,,easy,,0
What are the top 5 most recent promotions that have a cost greater than $1000?,"# Paraphrases of the Original Question

1. Could you list the 5 newest promotions that exceed $1000 in cost?

2. What are the five most recently launched promotional campaigns with costs surpassing $1000?

3. Please identify the five latest promotions whose expenditure is more than $1000.","SELECT p_promo_id, p_promo_name, p_cost, p_end_date_sk 
FROM promotion 
WHERE p_cost > 1000 
ORDER BY p_end_date_sk DESC 
LIMIT 5;",promotion,promotion.p_end_date_sk;promotion.p_promo_id;promotion.p_cost;promotion.p_promo_name,"To identify the most recent high-cost promotional campaigns, which helps marketing teams analyze their recent significant investments and potentially evaluate their effectiveness. This information can guide future budget allocation and marketing strategy decisions.",easy,"The query could also use p_start_date_sk instead of p_end_date_sk to determine recency, depending on the business definition of a 'recent' promotion.;We could join with a date dimension table (if available) to show actual calendar dates instead of surrogate keys for better readability.",1
What are the top 5 most recent promotions that have a cost greater than $1000?,,"SELECT dummy_col, c_birth_month, COUNT(*) as customer_count FROM customer GROUP BY c_birth_month ORDER BY c_birth_month",customer,customer.c_birth_month,,medium,,0
What are the top 5 most recent promotions that have a cost greater than $1000?,,"SELECT dummy_col, p_promo_id, p_promo_name, p_cost, p_end_date_sk 
FROM promotion 
WHERE p_cost > 1000 
ORDER BY p_end_date_sk DESC 
LIMIT 5;",promotion,promotion.p_promo_id;promotion.p_cost;promotion.p_end_date_sk;promotion.p_promo_name,,easy,,0
